LABEL, TIMESTAMP, ID
PHASE 1 - START, 1565876671,
PHASE 1 - END, 1565876695, P1
PHASE 2 - START, 1565876695,
PHASE 2 - PIXEL SELECTION HOT BEGIN, 1565876695,
PHASE 2 - PSH NDVI FILTER BEGIN, 1565876695,
PHASE 2 - PSH NDVI FILTER END, 1565876697,
PHASE 2 - PSH SORT BY TEMP BEGIN, 1565876697,
PHASE 2 - PSH SORT BY TEMP END, 1565876733,
PHASE 2 - PSH HO MANIPULATION BEGIN, 1565876733,
PHASE 2 - PSH HO MANIPULATION END, 1565876733,
PHASE 2 - PSH SELECT FINAL CANDIDATES BEGIN, 1565876733,
PHASE 2 - PSH SELECT FINAL CANDIDATES END, 1565876734,
PHASE 2 - PSH CV EXTRACT BEGIN, 1565876734,
PHASE 2 - PSH CV EXTRACT END, 1565876734,
PHASE 2 - PSH FINAL BEGIN, 1565876734,
PHASE 2 - PSH FINAL END, 1565876734, P2PSH
PHASE 2 - PIXEL SELECTION HOT END, 1565876734,
PHASE 2 - PIXEL SELECTION COLD BEGIN, 1565876734,
PHASE 2 - PSC NDVI FILTER BEGIN, 1565876734,
PHASE 2 - PSC NDVI FILTER END, 1565876735,
PHASE 2 - PSC SORT BY TEMP BEGIN, 1565876735,
PHASE 2 - PSC SORT BY TEMP END, 1565876735,
PHASE 2 - PSC HO MANIPULATION BEGIN, 1565876735,
PHASE 2 - PIXEL SELECTION COLD END, 1565876735, P2PSC
PHASE 2 - BEFORE RAH CYCLE BEGIN, 1565876735,
PHASE 2 - BEFORE RAH CYCLE END, 1565876738, P2BR
PHASE 2 - RAH CYCLE BEGIN, 1565876738,
PHASE 2 - RAH CYCLE CUDA ELAPSED, 29496,
PHASE 2 - RAH CYCLE END, 1565876768, P2R
PHASE 2 - AFTER RAH CYCLE BEGIN, 1565876768,
PHASE 2 - AFTER RAH CYCLE END, 1565876770, P2AR
PHASE 2 - END, 1565876770,
